name,sku,barcode,package,brand,roi,roi_days,short_description,long_description,in_stock,cost,price,featured_image,images,location,active
"Bold Face Wash - Oil Control",499441331,25902,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.864,1.044,grocerapp-bold-face-wash-oil-605079c28d843.jpeg,"grocerapp-bold-face-wash-oil-605079c28d843.jpeg,grocerapp-bold-face-wash-oil-605079c28d843.jpeg",assets/images/product_images/,1
"Nivea Creme",549612513,21259,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.008,1.188,grocerapp-nivea-creme-5e6bc2f822cc0.jpeg,"grocerapp-nivea-creme-5e6bc2f822cc0.jpeg,grocerapp-nivea-creme-5e6bc2f822cc0.jpeg",assets/images/product_images/,1
"Loreal Dream Long Restoring Conditioner",64661492,5151,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.8712,1.0512,grocerapp-loreal-dream-length-conditioner-615313882399d.jpeg,"grocerapp-loreal-dream-length-conditioner-615313882399d.jpeg,grocerapp-loreal-dream-length-conditioner-615313882399d.jpeg",assets/images/product_images/,1
"Nivea Deodorant Fresh Comfort Quick Dry",868772376,24160,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.908,2.088,grocerapp-nivea-deodorant-fresh-comfort-quick-5ed9f9b133bc3.jpeg,"grocerapp-nivea-deodorant-fresh-comfort-quick-5ed9f9b133bc3.jpeg,grocerapp-nivea-deodorant-fresh-comfort-quick-5ed9f9b133bc3.jpeg",assets/images/product_images/,1
"Fa Caribbean Lemon Exotic Fresh Body Spray",910715244,223,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.422,1.6019999999999999,grocerapp-fa-caribbean-lemon-exotic-fresh-5e6bd78f25f89.jpeg,"grocerapp-fa-caribbean-lemon-exotic-fresh-5e6bd78f25f89.jpeg,grocerapp-fa-caribbean-lemon-exotic-fresh-5e6bd78f25f89.jpeg",assets/images/product_images/,1
"Nivea Men Invisible for Black & White Deodorant",236340289,25365,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.692,1.8719999999999999,grocerapp-nivea-men-invisible-for-black-6055b4b4919ff.jpeg,"grocerapp-nivea-men-invisible-for-black-6055b4b4919ff.jpeg,grocerapp-nivea-men-invisible-for-black-6055b4b4919ff.jpeg",assets/images/product_images/,1
"Nivea Soft Cream Chilled Mint Freshies",855194817,15642,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.44,1.6199999999999999,grocerapp-nivea-soft-cream-chilled-mint-5f8439019d39a.jpeg,"grocerapp-nivea-soft-cream-chilled-mint-5f8439019d39a.jpeg,grocerapp-nivea-soft-cream-chilled-mint-5f8439019d39a.jpeg",assets/images/product_images/,1
"Cherry Paste Polish Black",178409909,8552,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.44,1.6199999999999999,grocerapp-cherry-blossom-nourishes-protect-black-5e99750b87782.jpeg,"grocerapp-cherry-blossom-nourishes-protect-black-5e99750b87782.jpeg,grocerapp-cherry-blossom-nourishes-protect-black-5e99750b87782.jpeg",assets/images/product_images/,1
"Diva Deo Spray Desire",337160255,9696,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.188,1.3679999999999999,grocerapp-diva-deo-spray-120-ml-5f92dcbaac520.jpeg,"grocerapp-diva-deo-spray-120-ml-5f92dcbaac520.jpeg,grocerapp-diva-deo-spray-120-ml-5f92dcbaac520.jpeg",assets/images/product_images/,1
"Nivea Body Lotion Express Hydration For Normal To Dry Skin",162241097,2325,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,3.2399999999999998,3.42,grocerapp-nivea-body-lotion-express-hydration-5f869e4e26ce0.jpeg,"grocerapp-nivea-body-lotion-express-hydration-5f869e4e26ce0.jpeg,grocerapp-nivea-body-lotion-express-hydration-5f869e4e26ce0.jpeg",assets/images/product_images/,1
"Dettol Healthy Touch Instant Hand Sanitizer",283864694,5743,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.52,2.6999999999999997,grocerapp-dettol-healthy-touch-instant-hand-6013c0f815e8e.jpeg,"grocerapp-dettol-healthy-touch-instant-hand-6013c0f815e8e.jpeg,grocerapp-dettol-healthy-touch-instant-hand-6013c0f815e8e.jpeg",assets/images/product_images/,1
"Loreal Excellence Hair Color Brown 4",45279537,6488,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,5.5764,5.7564,grocerapp-loreal-excellence-hair-color-brown-5f34d4b68e683.jpeg,"grocerapp-loreal-excellence-hair-color-brown-5f34d4b68e683.jpeg,grocerapp-loreal-excellence-hair-color-brown-5f34d4b68e683.jpeg",assets/images/product_images/,1
"Close Up Menthol Fresh Green",491410603,24338,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.9,1.08,grocerapp-close-up-deep-action-menthol-5e6c10bf56a31.png,"grocerapp-close-up-deep-action-menthol-5e6c10bf56a31.png,grocerapp-close-up-deep-action-menthol-5e6c10bf56a31.png",assets/images/product_images/,1
"Garnier Men Acno Fight Brightening Foam",76840742,2763,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.3499999999999999,1.53,grocerapp-garnier-men-acno-fight-brightening-5f4cebf40de10.jpeg,"grocerapp-garnier-men-acno-fight-brightening-5f4cebf40de10.jpeg,grocerapp-garnier-men-acno-fight-brightening-5f4cebf40de10.jpeg",assets/images/product_images/,1
"Bold PURE Perfume Body Spray",124672870,11888,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.242,1.422,grocerapp-bold-pure-perfume-body-spray-5edf34d812e7b.jpeg,"grocerapp-bold-pure-perfume-body-spray-5edf34d812e7b.jpeg,grocerapp-bold-pure-perfume-body-spray-5edf34d812e7b.jpeg",assets/images/product_images/,1
"Colgate Medium Compact Head Tooth Brush",674782991,13500,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.45,0.63,grocerapp-colgate-medium-compact-head-tooth-6038ae1a1244d.jpeg,"grocerapp-colgate-medium-compact-head-tooth-6038ae1a1244d.jpeg,grocerapp-colgate-medium-compact-head-tooth-6038ae1a1244d.jpeg",assets/images/product_images/,1
"Dove Body Lotion For Dry Skin",194096224,13910,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.3284,1.5084,grocerapp-dove-body-lotion-for-dry-5ff7fa0e49c24.jpeg,"grocerapp-dove-body-lotion-for-dry-5ff7fa0e49c24.jpeg,grocerapp-dove-body-lotion-for-dry-5ff7fa0e49c24.jpeg",assets/images/product_images/,1
"Krone Noir Aqua Blue Spray",465355733,24007,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.332,1.512,grocerapp-krone-noir-aqua-blue-spray-602a190f2c103.jpeg,"grocerapp-krone-noir-aqua-blue-spray-602a190f2c103.jpeg,grocerapp-krone-noir-aqua-blue-spray-602a190f2c103.jpeg",assets/images/product_images/,1
"Garnier Color Natural Pure Chocolate Brown 6.7 Hair Color",395183281,19848,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.7964,1.9764,grocerapp-garnier-color-natural-pure-chocolate-605c3f59c4928.jpeg,"grocerapp-garnier-color-natural-pure-chocolate-605c3f59c4928.jpeg,grocerapp-garnier-color-natural-pure-chocolate-605c3f59c4928.jpeg",assets/images/product_images/,1
"Sienna Foaming hand wash Blooming Bouquet",310721206,22926,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.08,1.26,grocerapp-sienna-foaming-hand-wash-blooming-6038f5f72c838.jpeg,"grocerapp-sienna-foaming-hand-wash-blooming-6038f5f72c838.jpeg,grocerapp-sienna-foaming-hand-wash-blooming-6038f5f72c838.jpeg",assets/images/product_images/,1
"Nivea Powder Touch Deodorants",876329681,26110,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.908,2.088,grocerapp-nivea-powder-touch-deodorants-5ed9f729caac1.jpeg,"grocerapp-nivea-powder-touch-deodorants-5ed9f729caac1.jpeg,grocerapp-nivea-powder-touch-deodorants-5ed9f729caac1.jpeg",assets/images/product_images/,1
"Garnier Micellar Cleansing Water All in One",724290366,2287,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.6164,1.7964,grocerapp-garnier-micellar-cleansing-water-all-5f34eed4ae90c.jpeg,"grocerapp-garnier-micellar-cleansing-water-all-5f34eed4ae90c.jpeg,grocerapp-garnier-micellar-cleansing-water-all-5f34eed4ae90c.jpeg",assets/images/product_images/,1
"Nivea Face Wash Refreshing Lotus Flower For Normal Skin",509712336,23702,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.556,2.7359999999999998,grocerapp-nivea-face-wash-refreshing-lotus-5f350189822b2.jpeg,"grocerapp-nivea-face-wash-refreshing-lotus-5f350189822b2.jpeg,grocerapp-nivea-face-wash-refreshing-lotus-5f350189822b2.jpeg",assets/images/product_images/,1
"Bold OUD Soul Body Spray",927601105,1610,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.242,1.422,grocerapp-bold-oud-soul-body-spray-605060f12a122.jpeg,"grocerapp-bold-oud-soul-body-spray-605060f12a122.jpeg,grocerapp-bold-oud-soul-body-spray-605060f12a122.jpeg",assets/images/product_images/,1
"Loreal Casting Creme Gloss Hair Color Brown 400",2831894,15484,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,5.5764,5.7564,grocerapp-loreal-casting-creme-gloss-hair-5f34db6f59255.jpeg,"grocerapp-loreal-casting-creme-gloss-hair-5f34db6f59255.jpeg,grocerapp-loreal-casting-creme-gloss-hair-5f34db6f59255.jpeg",assets/images/product_images/,1
"Sienna Foaming hand wash Floral Spell",449213167,25775,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.08,1.26,grocerapp-sienna-foaming-hand-wash-floral-6038e956e388d.jpeg,"grocerapp-sienna-foaming-hand-wash-floral-6038e956e388d.jpeg,grocerapp-sienna-foaming-hand-wash-floral-6038e956e388d.jpeg",assets/images/product_images/,1
"Nivea Dry Comfort Body Spray",420199669,19609,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.908,2.088,grocerapp-nivea-dry-comfort-body-spray-5ed9f91e41b5a.jpeg,"grocerapp-nivea-dry-comfort-body-spray-5ed9f91e41b5a.jpeg,grocerapp-nivea-dry-comfort-body-spray-5ed9f91e41b5a.jpeg",assets/images/product_images/,1
"Veet Cream Silk Fresh Dry",123807682,24813,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.772,2.952,grocerapp-veet-silk-fresh-dry-5e6cf8eddb903.jpeg,"grocerapp-veet-silk-fresh-dry-5e6cf8eddb903.jpeg,grocerapp-veet-silk-fresh-dry-5e6cf8eddb903.jpeg",assets/images/product_images/,1
"Close-Up Soft Tooth Brush",608460405,20292,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.34199999999999997,0.522,grocerapp-close-up-soft-tooth-brush-5e6ce5686a5d0.jpeg,"grocerapp-close-up-soft-tooth-brush-5e6ce5686a5d0.jpeg,grocerapp-close-up-soft-tooth-brush-5e6ce5686a5d0.jpeg",assets/images/product_images/,1
"Nivea Protect & Care Body Spray",532961339,17341,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.908,2.088,grocerapp-nivea-protect-care-body-5ed9f645ce79c.jpeg,"grocerapp-nivea-protect-care-body-5ed9f645ce79c.jpeg,grocerapp-nivea-protect-care-body-5ed9f645ce79c.jpeg",assets/images/product_images/,1
"Bold IGNITE Perfume Body Spray",57371295,25384,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.242,1.422,grocerapp-bold-ignite-perfume-body-spray-5ede4332b4e2d.jpeg,"grocerapp-bold-ignite-perfume-body-spray-5ede4332b4e2d.jpeg,grocerapp-bold-ignite-perfume-body-spray-5ede4332b4e2d.jpeg",assets/images/product_images/,1
"Head & Shoulder Smooth & Silky 2 in 1 Shampoo + Conditioner",38129204,5883,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.9764,2.1564,grocerapp-head-shoulder-smooth--60251cba50b5c.jpeg,"grocerapp-head-shoulder-smooth--60251cba50b5c.jpeg,grocerapp-head-shoulder-smooth--60251cba50b5c.jpeg",assets/images/product_images/,1
"SHIELD DUALPRO (BLISTER)",456720667,11557,1,1,2,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.36,0.54,grocerapp-dualpro-blister-60cc8f77838e1.jpeg,"grocerapp-dualpro-blister-60cc8f77838e1.jpeg,grocerapp-dualpro-blister-60cc8f77838e1.jpeg",assets/images/product_images/,1
"Clere Body Lotion Storm For Men",406726371,22727,1,1,3,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.54,0.72,grocerapp-clere-hand-body-lotion-200ml-5f4d00879948f.jpeg,"grocerapp-clere-hand-body-lotion-200ml-5f4d00879948f.jpeg,grocerapp-clere-hand-body-lotion-200ml-5f4d00879948f.jpeg",assets/images/product_images/,1
"CHAP.ICE MOISTURE LIP BALM",191887208,23656,1,1,3,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.324,0.504,grocerapp-chapice-moisture-lip-balm-5ff84860a7a73.jpeg,"grocerapp-chapice-moisture-lip-balm-5ff84860a7a73.jpeg,grocerapp-chapice-moisture-lip-balm-5ff84860a7a73.jpeg",assets/images/product_images/,1
"Fa Recharge Body Spray",740522264,17612,1,1,3,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.26,1.44,grocerapp-fa-men-sport-recharge-anti-perspirant-5ede46899f64e.jpeg,"grocerapp-fa-men-sport-recharge-anti-perspirant-5ede46899f64e.jpeg,grocerapp-fa-men-sport-recharge-anti-perspirant-5ede46899f64e.jpeg",assets/images/product_images/,1
"SIENA HANDWASH PRECIOUS JADE",116556485,9062,1,1,3,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.828,1.008,grocerapp-siena-handwash-precious-jade-627e0e0f26f31.jpeg,"grocerapp-siena-handwash-precious-jade-627e0e0f26f31.jpeg,grocerapp-siena-handwash-precious-jade-627e0e0f26f31.jpeg",assets/images/product_images/,1
"Kiwi Leather Liquid Shoe Polish Dark Tan",832492022,18006,1,1,3,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.648,0.828,grocerapp-kiwi-liquid-shoe-polish-dark-5ed7d4761c150.jpeg,"grocerapp-kiwi-liquid-shoe-polish-dark-5ed7d4761c150.jpeg,grocerapp-kiwi-liquid-shoe-polish-dark-5ed7d4761c150.jpeg",assets/images/product_images/,1
"Nivea for Men Protect & Care After Shave Balm",753052565,8791,1,1,3,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.52,2.6999999999999997,grocerapp-nivea-for-men-protect--600a85b54b1fa.jpeg,"grocerapp-nivea-for-men-protect--600a85b54b1fa.jpeg,grocerapp-nivea-for-men-protect--600a85b54b1fa.jpeg",assets/images/product_images/,1
"Nivea Invisible for Black & White Body Spray",803111994,24541,1,1,3,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.908,2.088,grocerapp-nivea-invisible-for-black--5ed9f8aba8b23.png,"grocerapp-nivea-invisible-for-black--5ed9f8aba8b23.png,grocerapp-nivea-invisible-for-black--5ed9f8aba8b23.png",assets/images/product_images/,1
"Nivea Men Sensitive After Shave Fluid Instant Relief",709245566,9970,1,1,3,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,2.52,2.6999999999999997,grocerapp-nivea-men-sensitive-after-shave-61adda80da7f0.jpeg,"grocerapp-nivea-men-sensitive-after-shave-61adda80da7f0.jpeg,grocerapp-nivea-men-sensitive-after-shave-61adda80da7f0.jpeg",assets/images/product_images/,1
"Delite Lemon Hand Sanitizer",748610291,15187,1,1,3,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.8964,1.0764,grocerapp-delite-lemon-hand-sanitizer-5f3bba4bb6f37.jpeg,"grocerapp-delite-lemon-hand-sanitizer-5f3bba4bb6f37.jpeg,grocerapp-delite-lemon-hand-sanitizer-5f3bba4bb6f37.jpeg",assets/images/product_images/,1
"Smart Coll Joopi Deodorant Spray",999599892,12540,1,1,3,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,1.2564,1.4364,grocerapp-smart-coll-joopi-deodorant-spray-5ea16a11e1208.jpeg,"grocerapp-smart-coll-joopi-deodorant-spray-5ea16a11e1208.jpeg,grocerapp-smart-coll-joopi-deodorant-spray-5ea16a11e1208.jpeg",assets/images/product_images/,1
"NIVEA Shea SMOOTH BODY LOTION For Dry Skin",796683837,8255,1,1,3,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,3.2399999999999998,3.42,grocerapp-nivea-smooth-sensation-body-lotion-63217e4adf284.jpeg,"grocerapp-nivea-smooth-sensation-body-lotion-63217e4adf284.jpeg,grocerapp-nivea-smooth-sensation-body-lotion-63217e4adf284.jpeg",assets/images/product_images/,1
"Gillette Fusion Proglide Power Razor with Blade",66559877,14858,1,1,3,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,7.776,7.9559999999999995,grocerapp-gillette-fusion-proglide-power-razor-5e6c1389c12d3.png,"grocerapp-gillette-fusion-proglide-power-razor-5e6c1389c12d3.png,grocerapp-gillette-fusion-proglide-power-razor-5e6c1389c12d3.png",assets/images/product_images/,1
"CARE VANISHING CREAM 70 ML",641546283,1869,1,1,3,30,"Cherry Paste Polish Dark Tan","Cherry Paste Polish Dark Tan",100000,0.7163999999999999,0.8964,grocerapp-care-vanishing-cream-70-ml-60caf2fca7196.jpeg,"grocerapp-care-vanishing-cream-70-ml-60caf2fca7196.jpeg,grocerapp-care-vanishing-cream-70-ml-60caf2fca7196.jpeg",assets/images/product_images/,1
